PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,LastTournamentYear,GameId,GameName,Top10PctEarningsRatio
1000,2009-08-22,2024-12-22,15.3347022587269,537732.41,MC,Ongoing,2009,2024,RTS,2009,124,2024,151,StarCraft II,0.5594168083586555
1002,2009-08-16,2023-08-05,13.96851471594798,419621.15,Mvp,Inactive,2009,2023,RTS,2009,70,2023,151,StarCraft II,0.5690951085152423
1003,2010-10-02,2019-08-19,8.878850102669405,451943.24,Polt,Inactive,2010,2019,RTS,2010,139,2019,151,StarCraft II,0.6077165019727249
1007,2011-03-19,2023-08-05,12.380561259411362,417169.17,MMA,Inactive,2011,2023,RTS,2011,112,2023,151,StarCraft II,0.5720168061811847
1008,2002-06-22,2019-03-17,16.733744010951405,337401.66,NaDa,Inactive,2002,2019,RTS,2002,70,2019,152,StarCraft: Brood War,0.4659398466937478
1017,2010-10-02,2025-03-16,14.453114305270363,634266.17,ByuN,Ongoing,2010,2025,RTS,2010,727,2025,151,StarCraft II,0.818272137819671
1025,2010-11-13,2023-11-05,12.97741273100616,333082.56,Leenock,Inactive,2010,2023,RTS,2010,186,2023,151,StarCraft II,0.7112234249172027
1042,2004-03-13,2024-12-29,20.79671457905544,668434.36,Lyn,Ongoing,2004,2024,RTS,2004,275,2024,158,WarCraft III,0.5185405207845569
1057,2011-06-18,2024-06-29,13.032169746748803,359737.09,DongRaeGu,Ongoing,2011,2024,RTS,2011,240,2024,151,StarCraft II,0.6630953480966734
1064,2010-12-18,2025-01-26,14.108145106091717,345511.1,GuMiho,Ongoing,2010,2025,RTS,2010,509,2025,151,StarCraft II,0.755571026372775
1072,2003-11-07,2024-12-29,21.144421629021217,782559.43,Moon,Ongoing,2003,2024,RTS,2003,276,2024,158,WarCraft III,0.420919267144048
1126,2010-10-02,2025-03-16,14.453114305270363,1356351.22,Maru,Ongoing,2010,2025,RTS,2010,202,2025,151,StarCraft II,0.5548573904929079
1132,2011-12-07,2024-11-03,12.908966461327857,482268.18,PartinG,Ongoing,2011,2024,RTS,2011,248,2024,151,StarCraft II,0.623560730151543
1139,1999-10-31,2020-07-13,20.700889801505816,458739.23,Fatal1ty,Inactive,1999,2020,FPS,1999,40,2020,159,Quake III Arena,0.5442447171715751
1140,2003-08-24,2022-07-28,18.926762491444215,363571.93,Grubby,Inactive,2003,2022,RTS,2003,174,2022,158,WarCraft III,0.4799557094756794
1157,2006-12-19,2025-03-15,18.236824093086927,499346.68,rapha,Ongoing,2006,2025,FPS,2006,123,2025,499,Quake Champions,0.5300285050145502
1175,2010-02-28,2024-05-05,14.182067077344286,464829.08,SpeCial,Ongoing,2010,2024,RTS,2010,351,2024,151,StarCraft II,0.5493823721421662
1177,2009-04-05,2022-10-23,13.54962354551677,371037.5,Ace,Inactive,2009,2022,FPS,2009,75,2022,423,Halo 5: Guardians,0.5833670930030673
1179,2009-08-30,2021-12-03,12.260095824777549,522597.12,Enable,Inactive,2009,2021,FPS,2009,109,2021,364,Call of Duty: Advanced Warfare,0.6148162542724125
1183,2011-02-02,2024-10-06,13.675564681724847,790771.25,Lethul,Ongoing,2011,2024,FPS,2011,90,2024,423,Halo 5: Guardians,0.7114433287959059
1185,2009-08-30,2024-10-06,15.101984941820671,467925.0,APG,Ongoing,2009,2024,FPS,2009,82,2024,643,Halo Infinite,0.6009040148896571
1191,2010-08-29,2024-10-06,14.105407255304586,971190.0,SnakeBite,Ongoing,2010,2024,FPS,2010,97,2024,423,Halo 5: Guardians,0.6860825457516844
1196,2011-04-03,2024-10-06,13.51129363449692,1298932.18,FormaL,Ongoing,2011,2024,FPS,2011,159,2024,364,Call of Duty: Advanced Warfare,0.6028424975918835
1203,2008-04-13,2024-07-14,16.251882272416154,541601.84,Snip3down,Ongoing,2008,2024,Battle Royale,2008,162,2024,566,Apex Legends,0.5526624677416146
1208,2011-04-03,2024-10-06,13.51129363449692,942052.5,Royal 2,Ongoing,2011,2024,FPS,2011,83,2024,423,Halo 5: Guardians,0.6802162929006064
1210,2007-04-15,2022-02-13,14.833675564681725,399835.0,Pistola,Inactive,2007,2022,FPS,2007,83,2022,423,Halo 5: Guardians,0.5561487809218723
1216,2011-06-05,2024-11-01,13.409993155373032,1418092.8,C6,Ongoing,2011,2024,FPS,2011,172,2024,364,Call of Duty: Advanced Warfare,0.7142732807846376
1227,2010-11-27,2024-04-13,13.377138945927447,376554.08,Nerchio,Ongoing,2010,2024,RTS,2010,451,2024,151,StarCraft II,0.6709178557673273
1257,2011-05-16,2019-08-15,8.24914442162902,375038.71,Snute,Inactive,2011,2019,RTS,2011,313,2019,151,StarCraft II,0.6236621959813305
1288,2007-05-20,2025-01-04,17.6290212183436,485334.87,Happy,Ongoing,2007,2025,RTS,2007,625,2025,638,WarCraft III: Reforged,0.6121664423745988
1338,2005-02-28,2024-12-29,19.83299110198494,348697.8,Fly100%,Ongoing,2005,2024,RTS,2005,154,2024,158,WarCraft III,0.5181491269722719
1340,2007-05-30,2025-01-04,17.60164271047228,503347.0,Infi,Ongoing,2007,2025,RTS,2007,173,2025,158,WarCraft III,0.5305655241128384
1402,2007-07-26,2024-09-08,17.12251882272416,401927.69,TH000,Ongoing,2007,2024,RTS,2007,161,2024,158,WarCraft III,0.46224786468757134
