GameName,TotalUSDPrize,TotalTournaments,TotalPlayers,GameId
Dota 2,372646784.96,1981,5069,231
VALORANT,32857684.67,1328,7490,646
Artifact Classic,120567.26,192,286,552
Fortnite,193502088.12,2353,9719,534
Rogue Company,50000.00,2,48,713
Rocket Arena,100000.00,3,24,698
Gwent,1544697.17,123,350,487
Heroes of Newerth,3073445.72,395,820,242
Defense of the Ancients,928521.91,109,507,163
Counter-Strike 2,31031302.49,652,3786,839
Counter-Strike: Global Offensive,162757246.36,7100,16571,245
Minecraft,3306970.15,171,643,559
Heroes of the Storm,18466719.38,507,1335,371
Arena of Valor,109438707.92,182,2267,529
Call of Duty: Black Ops 6,182200.00,6,34,875
Call of Duty: Modern Warfare III,6452000.00,21,176,855
Call of Duty: Modern Warfare II,6121126.90,38,227,816
Call of Duty: Vanguard,6321000.00,91,261,749
Call of Duty: Black Ops Cold War,6549000.00,92,299,711
Call of Duty: Black Ops 4,6734938.95,82,389,549
Call of Duty: Modern Warfare,7500784.50,81,396,626
Call of Duty: Warzone,13854809.95,407,1287,648
Call of Duty: Blackout,611608.35,18,175,704
Call of Duty: WWII,4578021.00,77,296,490
Fall Guys,340273.83,7,250,696
Call of Duty: Infinite Warfare,4166705.06,84,343,455
Call of Duty: Black Ops III,3939783.29,78,424,425
League of Legends,117941905.23,3031,9679,164
StarCraft II,42751866.17,7534,2280,151
Chess.com,8973053.36,841,1185,547
Lichess,1316106.01,191,369,650
chess24,4318475.43,29,90,649
Street Fighter 6,6668637.32,136,431,837
Street Fighter V: Champion Edition,1254126.27,155,264,642
Call of Duty: Modern Warfare 2,117479.89,22,69,369
Call of Duty: Advanced Warfare,2611808.93,405,783,364
Tekken 8,1827102.86,42,219,856
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,87444954.82,342,4277,554
Aim Gods,250000.00,1,2,747
Splitgate: Arena Warfare,360000.00,4,92,582
Halo 3,2318079.40,43,214,155
Halo 5: Guardians,7161730.97,109,248,423
Halo Infinite,7003555.03,58,275,643
PLAYERUNKNOWN’S BATTLEGROUNDS,66987707.91,641,4005,504
Shadowverse,5508473.29,44,248,564
StarCraft: Evo Complete (Mod),22013.18,11,38,868
Assetto Corsa,995493.60,133,304,553
Call of Duty: Mobile,9364832.75,44,477,639
Madden NFL 24,1700000.00,6,86,851
Madden NFL 23,1700000.00,4,37,840
Madden NFL 22,1650000.00,4,37,794
Madden NFL 21,1280000.00,6,66,841
Madden NFL 20,923000.00,2,38,793
Halo 2 Anniversary,468705.05,20,97,384
Apex Legends,28803237.01,738,2366,566
Halo 2,1626762.47,74,126,154
Halo: Reach,772089.97,29,121,156
Call of Duty: Ghosts,1594185.25,76,199,273
Halo 4,430748.76,19,66,256
Clash Royale,9624825.93,144,581,464
Rocket League,46071878.23,4924,8221,409
chessarena.com,263363.64,22,134,832
StarCraft: Remastered,6496544.06,904,454,762
Stormgate,54559.66,39,97,859
CrossFire,25408357.96,410,1143,352
EA Sports FC 25,901043.00,23,112,874
EA Sports FC 24,7356431.34,76,348,852
FIFA 23,6197022.16,99,527,828
FIFA 22,4629302.53,76,433,754
FIFA 21,4855659.11,63,434,712
FIFA 20,2598643.56,67,363,621
FIFA 19,3287686.79,53,331,556
FIFA 18,2233697.69,48,235,518
FIFA 17,1487809.08,49,135,465
Rust,50000.00,1,46,812
Mortal Kombat 1,344710.47,26,129,854
Skullgirls 2nd Encore,84813.02,29,84,459
Mortal Kombat 11,611478.76,64,236,583
Dragon Ball FighterZ,518915.52,183,300,541
Guilty Gear -STRIVE-,694848.84,116,319,733
Melty Blood: Type Lumina,63817.23,23,72,743
Tekken 7,3911820.60,426,634,406
Soul Calibur VI,177627.27,72,128,568
Injustice 2,837447.16,38,81,494
Mortal Kombat 9,136891.67,26,67,211
Marvel vs. Capcom: Infinite,76256.72,22,60,470
Dead or Alive 5: Last Round,15413.82,20,46,388
