GameName,TotalUSDPrize,TotalTournaments,TotalPlayers,GameId,GameType
Dota 2,372646784.96,1981,5069,231,MOBA
VALORANT,32857684.67,1328,7490,646,FPS
Artifact Classic,120567.26,192,286,552,Card Game
Fortnite,193502088.12,2353,9719,534,Battle Royale
Rogue Company,50000.0,2,48,713,FPS
Rocket Arena,100000.0,3,24,698,FPS
Gwent,1544697.17,123,350,487,Card Game
Heroes of Newerth,3073445.72,395,820,242,MOBA
Defense of the Ancients,928521.91,109,507,163,MOBA
Counter-Strike 2,31031302.49,652,3786,839,FPS
Counter-Strike: Global Offensive,162757246.36,7100,16571,245,FPS
Minecraft,3306970.15,171,643,559,Other
Heroes of the Storm,18466719.38,507,1335,371,MOBA
Arena of Valor,109438707.92,182,2267,529,MOBA
Call of Duty: Black Ops 6,182200.0,6,34,875,FPS
Call of Duty: Modern Warfare III,6452000.0,21,176,855,FPS
Call of Duty: Modern Warfare II,6121126.9,38,227,816,FPS
Call of Duty: Vanguard,6321000.0,91,261,749,FPS
Call of Duty: Black Ops Cold War,6549000.0,92,299,711,FPS
Call of Duty: Black Ops 4,6734938.95,82,389,549,FPS
Call of Duty: Modern Warfare,7500784.5,81,396,626,FPS
Call of Duty: Warzone,13854809.95,407,1287,648,Battle Royale
Call of Duty: Blackout,611608.35,18,175,704,FPS
Call of Duty: WWII,4578021.0,77,296,490,FPS
Fall Guys,340273.83,7,250,696,Other
Call of Duty: Infinite Warfare,4166705.06,84,343,455,FPS
Call of Duty: Black Ops III,3939783.29,78,424,425,FPS
League of Legends,117941905.23,3031,9679,164,MOBA
StarCraft II,42751866.17,7534,2280,151,RTS
Chess.com,8973053.36,841,1185,547,Strategy
Lichess,1316106.01,191,369,650,Strategy
chess24,4318475.43,29,90,649,Strategy
Street Fighter 6,6668637.32,136,431,837,Fighting
Street Fighter V: Champion Edition,1254126.27,155,264,642,Fighting
Call of Duty: Modern Warfare 2,117479.89,22,69,369,FPS
Call of Duty: Advanced Warfare,2611808.93,405,783,364,FPS
Tekken 8,1827102.86,42,219,856,Fighting
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,87444954.82,342,4277,554,Battle Royale
Aim Gods,250000.0,1,2,747,FPS
Splitgate: Arena Warfare,360000.0,4,92,582,FPS
Halo 3,2318079.4,43,214,155,FPS
Halo 5: Guardians,7161730.97,109,248,423,FPS
Halo Infinite,7003555.03,58,275,643,FPS
PLAYERUNKNOWN’S BATTLEGROUNDS,66987707.91,641,4005,504,Battle Royale
Shadowverse,5508473.29,44,248,564,Card Game
StarCraft: Evo Complete (Mod),22013.18,11,38,868,RTS
Assetto Corsa,995493.6,133,304,553,Racing
Call of Duty: Mobile,9364832.75,44,477,639,FPS
Madden NFL 24,1700000.0,6,86,851,Sports
Madden NFL 23,1700000.0,4,37,840,Sports
Madden NFL 22,1650000.0,4,37,794,Sports
Madden NFL 21,1280000.0,6,66,841,Sports
Madden NFL 20,923000.0,2,38,793,Sports
Halo 2 Anniversary,468705.05,20,97,384,FPS
Apex Legends,28803237.01,738,2366,566,Battle Royale
Halo 2,1626762.47,74,126,154,FPS
Halo: Reach,772089.97,29,121,156,FPS
Call of Duty: Ghosts,1594185.25,76,199,273,FPS
Halo 4,430748.76,19,66,256,FPS
Clash Royale,9624825.93,144,581,464,MOBA
Rocket League,46071878.23,4924,8221,409,Sports
chessarena.com,263363.64,22,134,832,Strategy
StarCraft: Remastered,6496544.06,904,454,762,RTS
Stormgate,54559.66,39,97,859,RTS
CrossFire,25408357.96,410,1143,352,FPS
EA Sports FC 25,901043.0,23,112,874,Sports
EA Sports FC 24,7356431.34,76,348,852,Sports
FIFA 23,6197022.16,99,527,828,Sports
FIFA 22,4629302.53,76,433,754,Sports
FIFA 21,4855659.11,63,434,712,Sports
FIFA 20,2598643.56,67,363,621,Sports
FIFA 19,3287686.79,53,331,556,Sports
FIFA 18,2233697.69,48,235,518,Sports
FIFA 17,1487809.08,49,135,465,Sports
Rust,50000.0,1,46,812,Other
Mortal Kombat 1,344710.47,26,129,854,Fighting
Skullgirls 2nd Encore,84813.02,29,84,459,Fighting
Mortal Kombat 11,611478.76,64,236,583,Fighting
Dragon Ball FighterZ,518915.52,183,300,541,Fighting
Guilty Gear -STRIVE-,694848.84,116,319,733,Fighting
Melty Blood: Type Lumina,63817.23,23,72,743,Fighting
Tekken 7,3911820.6,426,634,406,Fighting
Soul Calibur VI,177627.27,72,128,568,Fighting
Injustice 2,837447.16,38,81,494,Fighting
Mortal Kombat 9,136891.67,26,67,211,Fighting
Marvel vs. Capcom: Infinite,76256.72,22,60,470,Fighting
Dead or Alive 5: Last Round,15413.82,20,46,388,Fighting
Under Night In-Birth EXE: Late[st],54583.33,40,109,511,Fighting
Mortal Kombat XL,134263.79,19,56,448,Fighting
Under Night In-Birth EXE: Late,6025.76,23,52,390,Fighting
Skullgirls Encore,9155.4,13,37,343,Fighting
Rainbow Six Siege,49365252.94,572,3082,439,FPS
WarCraft III: Reforged,2214422.95,599,205,638,RTS
Call of Duty: Black Ops 2,1479139.25,54,187,257,FPS
Call of Duty: Modern Warfare 3,1161041.56,49,217,258,FPS
Call of Duty: Black Ops,375793.48,23,118,243,FPS
Golf With Your Friends,19400.0,2,11,744,Other
Hyper Scape,299000.0,4,260,663,Battle Royale
UNO,30000.0,3,28,634,Other
Creative Destruction,100000.0,1,8,565,Battle Royale
H1Z1,2067122.0,13,119,419,Battle Royale
StarCraft: Brood War,7556789.96,542,663,152,RTS
Super People,144526.0,11,95,809,Battle Royale
Overwatch 2,13662770.59,151,1411,792,FPS
Overwatch,35274412.38,848,4047,426,FPS
Super Smash Bros. Melee,4298201.43,2756,2018,204,Fighting
Street Fighter V: Arcade Edition,2267283.95,105,244,536,Fighting
Street Fighter V,2328386.94,130,278,434,Fighting
Ultra Street Fighter IV,818394.62,233,242,339,Fighting
Super Street Fighter IV Arcade Edition,391186.67,209,195,208,Fighting
King of Fighters XIII,46294.28,44,106,241,Fighting
Ultimate Marvel vs. Capcom 3,186685.27,198,223,249,Fighting
Street Fighter X Tekken,112990.64,96,140,213,Fighting
Tekken Tag Tournament 2,118501.3,140,151,251,Fighting
Super Street Fighter II Turbo HD Remix,22160.0,9,55,207,Fighting
Street Fighter III: 3rd Strike,117008.54,58,182,167,Fighting
Dead or Alive 5,0.0,2,4,253,Fighting
Persona 4 Arena,6336.63,11,42,252,Fighting
BlazBlue: Continuum Shift II,24591.01,5,14,212,Fighting
Marvel vs. Capcom 3,22343.62,12,38,196,Fighting
Hearthstone,31231683.48,1174,3173,328,Card Game
Hearthstone Battlegrounds,1762195.52,56,289,445,Card Game
Magic: The Gathering Arena,9794000.0,63,355,567,Card Game
DNF Duel,129145.48,13,53,810,Fighting
King of Fighters XV,409713.14,52,188,761,Fighting
BlazBlue: Cross Tag Battle,98682.7,43,133,548,Fighting
WarCraft III,6310024.04,1552,771,158,RTS
Quake Champions,3529688.25,293,341,499,FPS
Diabotical,265072.09,388,399,393,FPS
Quake Live,684854.12,411,225,157,FPS
ShootMania Storm,262090.69,43,108,254,FPS
King of Fighters 98,7945.57,3,7,602,Fighting
King of Fighters XIV,83801.59,41,95,441,Fighting
Sailor Moon S,3281.19,12,20,580,Fighting
Battlefield 4,245766.46,145,204,274,FPS
Battalion 1944,206654.67,29,135,528,FPS
Auto Chess,1163720.28,52,133,589,Auto Battler
Quake 4,564455.57,54,107,169,FPS
Painkiller,1015000.0,13,48,239,FPS
Doom 3,257748.16,4,14,170,FPS
Counter-Strike,13625648.65,1027,4330,162,FPS
Unreal Tournament 2003,147473.91,14,33,183,FPS
Quake III Arena,1200891.73,117,312,159,FPS
Aliens versus Predator 2,43500.0,2,2,246,FPS
QuakeWorld,104913.39,16,57,160,FPS
Free Fire,19125992.14,96,1727,598,Battle Royale
Super Smash Bros. Ultimate,2929881.74,1757,2419,558,Fighting
Brawl Stars,9171511.8,210,704,586,MOBA
Rennsport,2131805.52,9,65,849,Racing
rFactor 2,2219963.12,103,557,526,Racing
iRacing.com,3757336.03,189,1302,532,Racing
Assetto Corsa Competizione,597125.9,65,515,659,Racing
Age of Empires II,4215702.03,2107,2380,179,RTS
Age of Empires IV,1327343.31,514,735,746,RTS
FIFA 16,118401.61,29,62,421,Sports
FIFA 15,144373.99,352,167,362,Sports
Teamfight Tactics,9622418.25,113,892,592,Auto Battler
NBA 2K22,2650000.0,7,92,845,Sports
NBA 2K21,1330501.0,3,64,737,Sports
Madden NFL 18,423676.62,3,40,519,Sports
Madden NFL 17,1004000.0,5,42,475,Sports
Madden NFL 16,50000.0,1,8,476,Sports
Madden NFL 13,400000.0,1,8,275,Sports
Madden NFL 08,100000.0,1,1,479,Sports
F1 22,750324.0,2,25,824,Racing
F1 2021,765939.0,4,35,752,Racing
F1 2020,752235.0,3,42,707,Racing
F1 2019,538047.38,2,25,610,Racing
F1 2018,200000.0,1,21,579,Racing
ZeroSpace,20000.0,2,11,865,RTS
Naraka: Bladepoint,5558830.52,16,205,780,Battle Royale
Gears 5,2320920.0,112,163,595,FPS
Gears of War 4,3142785.0,152,155,452,FPS
Gears of War: Ultimate Edition,170000.0,3,39,505,FPS
Age of Empires,838701.05,372,686,510,RTS
rFactor,15083.56,4,51,700,Racing
SMITE,12580110.75,110,556,351,MOBA
Legends of Runeterra,718091.03,33,284,644,Card Game
Madden NFL 19,1269992.0,5,45,573,Sports
Virtua Fighter 5: Ultimate Showdown,17070.0,4,22,537,Fighting
Madden NFL 25,100000.0,1,8,870,Sports
Super Street Fighter II Turbo,28227.29,55,126,166,Fighting
Hyper Street Fighter II,10250.0,1,8,168,Fighting
Age of Empires III,135138.52,187,180,177,RTS
Tekken 6,122743.68,30,64,189,Fighting
Virtua Fighter 5,39830.0,7,14,191,Fighting
Capcom vs. SNK 2,25966.79,24,39,195,Fighting
Guilty Gear XX Accent Core,10365.0,4,33,202,Fighting
Street Fighter IV,15110.82,13,43,206,Fighting
Counter-Strike: Source,3157750.14,358,1570,226,FPS
Injustice: Gods Among Us,35176.89,117,101,260,Fighting
Call of Duty 4: Modern Warfare,428610.49,88,446,264,FPS
Dead or Alive 5 Ultimate,0.0,7,37,269,Fighting
Project M,205292.09,335,560,331,Fighting
Super Smash Bros. for Wii U,1517451.47,1036,1284,374,Fighting
Gears of War 3,7255.81,4,13,382,Other
Persona 4 Arena Ultimax,21138.16,22,69,389,Fighting
Mortal Kombat X,563532.42,62,100,391,Fighting
Counter-Strike Online,406989.6,12,70,463,FPS
Realm Royale,263000.0,9,47,546,Battle Royale
