GameName,TotalUSDPrize,TotalTournaments,TotalPlayers,GameId
Super Street Fighter II Turbo,28227.29,55,126,166
Hyper Street Fighter II,10250.00,1,8,168
Age of Empires III,135138.52,187,180,177
Tekken 6,122743.68,30,64,189
Virtua Fighter 5,39830.00,7,14,191
Capcom vs. SNK 2,25966.79,24,39,195
Guilty Gear XX Accent Core,10365.00,4,33,202
Street Fighter IV,15110.82,13,43,206
Counter-Strike: Source,3157750.14,358,1570,226
Injustice: Gods Among Us,35176.89,117,101,260
Call of Duty 4: Modern Warfare,428610.49,88,446,264
Dead or Alive 5 Ultimate,0.00,7,37,269
Project M,205292.09,335,560,331
Super Smash Bros. for Wii U,1517451.47,1036,1284,374
Gears of War 3,7255.81,4,13,382
Persona 4 Arena Ultimax,21138.16,22,69,389
Mortal Kombat X,563532.42,62,100,391
Counter-Strike Online,406989.60,12,70,463
Realm Royale,263000.00,9,47,546
WWE 2K20,50000.00,2,20,623
