NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Johan,Sundstein,N0tail,dk,1,1,7184163.05,130
Jesse,Vainikka,JerAx,fi,2,1,6486623.98,68
Anathan,Pham,ana,au,3,1,6024411.96,26
Yaroslav,Naidenov,Miposhka,ru,4,1,6011771.49,121
Sébastien,Debs,Ceb,fr,5,1,5949442.73,82
Topias,Taavitsainen,Topson,fi,6,2,5898810.60,44
Magomed,Khalilov,Collapse,ru,7,2,5724111.07,61
Ilya,Mulyarchuk,Yatoro,ua,8,1,5716736.05,57
Miroslaw,Kolpakov,Mira,ua,9,2,5593899.05,51
Kuro,Takhasomi,KuroKy,de,10,1,5295698.85,135
Amer,Al-Barkawi,Miracle-,jo,11,1,4913585.26,86
Lasse,Urpalainen,Matumbaman,fi,12,3,4873086.24,87
Ivan,Ivanov,MinD_ContRoL,bg,13,1,4704032.25,96
Alexander,Khertek,TORONTOTOKYO,ru,14,3,4494863.50,49
Maroun,Merhej,GH,lb,15,1,4350887.60,80
Clement,Ivanov,Puppey,ee,16,1,4342228.38,164
Ludwig,Wåhlberg,Zai,se,17,1,4292756.02,126
Chunyu,Wang,Ame,cn,18,1,4273479.27,87
Sumail,Hassan,SumaiL,pk,19,1,4128055.98,102
Yiping,Zhang,y`,cn,20,2,4044742.20,93
Ruida,Zhang,Faith_bian,cn,21,3,3954981.98,86
Michał,Jankowski,Nisha,pl,22,1,3745426.48,102
Kyle,Giersdorf,Bugha,us,23,1,3744925.05,148
Martin,Sazdov,Saksa,mk,24,1,3611111.18,86
Neta,Shapira,33,il,25,1,3365479.03,106
Yao,Lu,Somnus,cn,26,4,3311808.66,93
Andreas,Nielsen,Cr1t,dk,27,2,3247429.18,122
Jingjun,Wu,Sneyking,us,28,2,3202529.59,119
Linsen,Xu,fy,cn,29,5,3159545.98,112
Saahil,Arora,UNiVeRsE,us,30,3,3057237.67,95
Peter,Dager,ppd,us,31,4,3029331.36,96
Tal,Aizik,Fly,il,32,2,2884903.39,152
Oliver,Lepko,Skiter,sk,33,1,2851493.15,97
Gustav,Magnusson,s4,se,34,2,2749194.70,143
Artour,Babaev,Arteezy,ca,35,1,2714369.91,127
Clinton,Loomis,Fear,us,36,5,2564904.63,104
Liangzhi,Hu,KaKa,cn,37,6,2548691.89,107
Yazied,Jaradat,YapzOr,jo,38,2,2298690.64,68
Aliwi,Omar,w33,ro,39,1,2294325.43,70
Zixing,Zhao,XinQ,cn,40,7,2273760.44,69
Peter,Rasmussen,dupreeh,dk,41,3,2225525.08,198
Roman,Kushnarev,RAMZES666,ru,42,4,2207611.08,111
David,Wang,Aqua,at,43,1,2197375.23,103
Jian Wei,Yap,xNova,my,44,1,2146691.12,76
Samuel,Svahn,Boxi,se,45,3,2132343.66,109
Aydin,Sarkohi,iNsania,se,46,4,2130759.69,125
Michael,Vu,miCKE,se,47,5,2126336.42,115
Marcus,Hoelgaard,Ace,dk,48,4,2087817.11,129
Kurtis,Ling,Aui_2000,ca,50,2,2073582.54,89
Roman,Fominok,Resolut1on,ua,51,3,2063162.95,115
Nicolai,Reedtz,dev1ce,dk,49,5,2080664.98,191
Finn,Andersen,karrigan,dk,52,6,2059202.62,253
Leon,Kirilin,Nine,de,53,2,2058860.94,59
Shenyi,Yang,Chalice,cn,54,8,2040114.72,56
Aleksey,Berezin,Solo,ru,55,5,2038081.34,121
Peng,Li,iceice,cn,56,9,2005164.63,27
Andreas,Højsleth,Xyp9x,dk,57,7,2003061.83,200
Zeyu,Chu,Shadow,cn,58,10,1982030.82,29
Jin Xiang,Cheng,NothingToSay,my,59,2,1974694.93,56
Vladimir,Minenko,Noone,ua,60,4,1960799.78,111
Yang,Zhou,bLink,cn,61,11,1960761.59,26
Harrison,Chang,psalm,us,62,6,1959500.00,60
Quinn,Callahan,Quinn,us,63,7,1947970.27,87
Siyuan,Luo,HuaHai,cn,64,12,1941993.39,23
Emil,Reif,Magisk,dk,65,8,1934223.63,144
Lukas,Rossander,gla1ve,dk,66,9,1929503.03,190
Yeik Nai,Zheng,MidOne,my,67,3,1896531.44,82
Tyler,Pharris,aBeZy,us,68,8,1882655.68,71
Ning,Zhang,xiao8,cn,69,13,1877518.06,58
Bicheng,Xu,Yinuo,cn,70,14,1871202.59,25
Damien,Chok,kpii,au,71,2,1865667.57,88
Shane,Cotton,EpikWhale,us,72,9,1838487.32,125
Denis,Sigitov,Larl,ru,73,6,1831224.07,45
Christopher,Lehr,Simp,us,74,10,1830078.33,63
Håvard,Nygaard,rain,no,75,1,1819816.24,181
Sang Hyeok,Lee,Faker,kr,76,1,1816084.56,72
Daryl Koh,Pei Xiang,iceiceice,sg,77,1,1812855.42,111
Yunfei,Peng,Fly,cn,78,15,1767497.60,28
Hongda,Zeng,Faith,cn,79,16,1764633.21,108
Junhao,Xie,Super,cn,80,17,1764310.33,94
Russel,Van Dulken,Twistzz,ca,81,3,1763893.10,146
Zhihao,Chen,Hao,cn,82,18,1761674.53,60
Dan,Madesclaire,apEX,fr,83,2,1747015.64,239
Pavel,Khvastunov,9pasha,ru,84,7,1733385.13,82
Oleksandr,Kostyljev,s1mple,ua,85,5,1722255.32,153
Zhengzheng,Chen,Cat,cn,86,19,1716947.58,22
Daheng,Li,Pang,cn,87,20,1682659.41,13
McArthur,Jovel,Cellium,us,88,11,1674298.93,75
Joona,Sotala,Serral,fi,89,4,1666325.57,183
Robin,Kool,ropz,ee,90,2,1661577.41,136
Letian,Zhong,1dao,cn,91,21,1656199.27,18
Denis,Sharipov,electroNic,ru,92,8,1650967.01,132
Nikola,Kovač,NiKo,ba,93,1,1636760.15,185
Youqi,Cai,Yu,cn,94,22,1626161.52,17
Anas,El-Abd,Anas,dk,95,10,1622990.05,139
Yangwei,Ren,old eLeVeN,cn,96,23,1570503.07,77
Emil,Bergquist Pedersen,Nyhrox,no,97,2,1543145.69,33
Peng,Du,Monet,cn,98,24,1535720.98,78
Yaoqin,Huang,QingRong,cn,99,25,1535223.32,18
Zhicheng,Zhang,LaNm,cn,100,26,1529400.71,82
Jiaoyang,Zeng,Ori,cn,101,27,1527561.42,76
Magnus,Carlsen,MagnusCarlsen,no,102,3,1521051.02,145
Michał,Kamiński,Kami,pl,103,2,1513689.20,169
Tianlong,Wang,Alan,cn,104,28,1508589.45,18
Lin,Jing,Xxs,cn,105,29,1508341.42,96
Rasmus,Fillipsen,MiSeRy,dk,106,11,1505197.74,94
Anton,Shkredov,dyrachYO,ru,107,9,1455949.60,54
-,-,Kakeru,jp,108,1,1455614.85,15
Alec,Sanderson,Arcitys,us,110,12,1426929.09,62
Valeriy,Vakhovskiy,B1t,ua,109,6,1431957.70,71
Ian,Porter,C6,us,111,13,1418092.80,172
Adrian,Trinks,FATA,de,112,3,1410552.48,121
Tianhao,Liu,YiZ,cn,113,30,1407681.64,21
Chao,Lu,Fenrir,cn,114,31,1406042.25,77
Vladimir,Nikogosyan,RodjER,am,115,1,1404636.10,72
Yang,Fan,Fanfan,cn,116,32,1403112.86,17
Bocheng,Zhu,paraboy,cn,117,33,1399954.36,40
Pan,Zhang,Mu,cn,118,34,1390711.71,48
Melchior,Hillenkamp,Seleri,nl,119,1,1382064.91,91
Jaden,Ashman,Wolfiez,gb,120,1,1368308.07,58
Sung Choo,Cho,Maru,kr,121,2,1356351.22,202
Erik,Engel,tOfu,de,122,4,1354831.70,60
Fa Ming,Liang,DDC,mo,123,1,1344720.91,79
Williams,Aubin,Zayt,ca,124,4,1331781.42,72
Thomas Høxbro,Davidsen,Th0masHD,dk,125,12,1330476.44,217
Yang,Xiang,ZiYang,cn,126,35,1325717.83,15
Zehai,Zeng,Order,cn,127,36,1321100.02,32
Anthony,Cuevas-Castro,Shotzzy,us,128,14,1310650.00,81
Cong,Ding,Dy,cn,129,37,1309787.36,63
Matthew,Piper,FormaL,us,130,15,1298932.18,159
Keith,Markovic,NAF,ca,131,5,1298682.06,169
Heng,Lin,NuanYang,cn,132,38,1290681.49,23
Chun,Song,Sccc,cn,133,39,1287091.81,76
Wang,Jiao,Banana,cn,134,40,1283122.84,46
Anucha,Jirawong,Jabz,th,135,1,1280581.39,97
Jiahao,Chen,ZhongYi,cn,136,41,1266318.50,7
Mathieu,Herbaut,ZywOo,fr,138,3,1259234.31,125
Yin-Jun,Xu,Jimmy,tw,139,1,1254709.26,31
Gabriel,Toledo,FalleN,br,137,1,1263415.79,196
Jonathan,Jablonowski,ELiGE,us,140,16,1253096.02,178
Jung Young,Park,Loki,kr,141,3,1245451.79,47
Nate,Kou,Kreo,hk,142,1,1244334.74,60
Chengjun,Zhang,Paparazi,cn,143,42,1242751.39,78
