NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments,PlayerId
Johan,Sundstein,N0tail,dk,1,1,7184163.05,130,3304
Jesse,Vainikka,JerAx,fi,2,1,6486623.98,68,3822
Anathan,Pham,ana,au,3,1,6024411.96,26,30451
Yaroslav,Naidenov,Miposhka,ru,4,1,6011771.49,121,15855
Sébastien,Debs,Ceb,fr,5,1,5949442.73,82,2811
Topias,Taavitsainen,Topson,fi,6,2,5898810.6,44,18897
Magomed,Khalilov,Collapse,ru,7,2,5724111.07,61,70584
Ilya,Mulyarchuk,Yatoro,ua,8,1,5716736.05,57,70916
Miroslaw,Kolpakov,Mira,ua,9,2,5593899.05,51,71806
Kuro,Takhasomi,KuroKy,de,10,1,5295698.85,135,3145
Amer,Al-Barkawi,Miracle-,jo,11,1,4913585.26,86,14671
Lasse,Urpalainen,Matumbaman,fi,12,3,4873086.24,87,12133
Ivan,Ivanov,MinD_ContRoL,bg,13,1,4704032.25,96,12579
Alexander,Khertek,TORONTOTOKYO,ru,14,3,4494863.5,49,79215
Maroun,Merhej,GH,lb,15,1,4350887.6,80,25335
Clement,Ivanov,Puppey,ee,16,1,4342228.38,164,2578
Ludwig,Wåhlberg,Zai,se,17,1,4292756.02,126,5195
Chunyu,Wang,Ame,cn,18,1,4273479.27,87,26665
Sumail,Hassan,SumaiL,pk,19,1,4128055.98,102,14196
Yiping,Zhang,y`,cn,20,2,4044742.2,93,10712
Ruida,Zhang,Faith_bian,cn,21,3,3954981.98,86,26513
Michał,Jankowski,Nisha,pl,22,1,3745426.48,102,17765
Kyle,Giersdorf,Bugha,us,23,1,3744925.05,148,56483
Martin,Sazdov,Saksa,mk,24,1,3611111.18,86,19074
Neta,Shapira,33,il,25,1,3365479.03,106,15708
Yao,Lu,Somnus,cn,26,4,3311808.66,93,10188
Andreas,Nielsen,Cr1t,dk,27,2,3247429.18,122,9515
Jingjun,Wu,Sneyking,us,28,2,3202529.59,119,3254
Linsen,Xu,fy,cn,29,5,3159545.98,112,4033
Saahil,Arora,UNiVeRsE,us,30,3,3057237.67,95,2615
Peter,Dager,ppd,us,31,4,3029331.36,96,5194
Tal,Aizik,Fly,il,32,2,2884903.39,152,3305
Oliver,Lepko,Skiter,sk,33,1,2851493.15,97,24761
Gustav,Magnusson,s4,se,34,2,2749194.7,143,3524
Artour,Babaev,Arteezy,ca,35,1,2714369.91,127,4028
Clinton,Loomis,Fear,us,36,5,2564904.63,104,2610
Liangzhi,Hu,KaKa,cn,37,6,2548691.89,107,10080
Yazied,Jaradat,YapzOr,jo,38,2,2298690.64,68,14672
Aliwi,Omar,w33,ro,39,1,2294325.43,70,13080
Zixing,Zhao,XinQ,cn,40,7,2273760.44,69,14833
Peter,Rasmussen,dupreeh,dk,41,3,2225525.08,198,3883
Roman,Kushnarev,RAMZES666,ru,42,4,2207611.08,111,16814
David,Wang,Aqua,at,43,1,2197375.23,103,59528
Jian Wei,Yap,xNova,my,44,1,2146691.12,76,22207
Samuel,Svahn,Boxi,se,45,3,2132343.66,109,18452
Aydin,Sarkohi,iNsania,se,46,4,2130759.69,125,12229
Michael,Vu,miCKE,se,47,5,2126336.42,115,41267
Marcus,Hoelgaard,Ace,dk,48,4,2087817.11,129,9514
Kurtis,Ling,Aui_2000,ca,50,2,2073582.54,89,3256
Roman,Fominok,Resolut1on,ua,51,3,2063162.95,115,3946
Nicolai,Reedtz,dev1ce,dk,49,5,2080664.98,191,3885
Finn,Andersen,karrigan,dk,52,6,2059202.62,253,2452
Leon,Kirilin,Nine,de,53,2,2058860.94,59,39770
Shenyi,Yang,Chalice,cn,54,8,2040114.72,56,33561
Aleksey,Berezin,Solo,ru,55,5,2038081.34,121,3773
Peng,Li,iceice,cn,56,9,2005164.63,27,14238
Andreas,Højsleth,Xyp9x,dk,57,7,2003061.83,200,3679
Zeyu,Chu,Shadow,cn,58,10,1982030.82,29,26512
